source,target,type
25219119,33720317,Undirected
25219119,45163881,Undirected
25219119,45483445,Undirected
25219119,29667099,Undirected
25219119,49641638,Undirected
25790317,27482326,Undirected
25790317,45052335,Undirected
25801881,12710386,Undirected
25801881,49931824,Undirected
25450414,45088562,Undirected
25569589,45420835,Undirected
47517301,4368436,Undirected
47476437,26731401,Undirected
47476437,5685147,Undirected
47476437,48588521,Undirected
47476437,49858181,Undirected
47667283,61733608,Undirected
47135421,2046282,Undirected
47539590,45052335,Undirected
47782283,30604219,Undirected
47782283,2046282,Undirected
47782283,3137645,Undirected
47782283,49965579,Undirected
47161676,48884055,Undirected
46922333,5547088,Undirected
47350012,49867985,Undirected
87915,12385024,Undirected
87915,27851364,Undirected
87915,2963811,Undirected
87915,49915966,Undirected
102916,2963811,Undirected
73695,37444146,Undirected
84065,2899885,Undirected
88779,33091456,Undirected
88779,2315806,Undirected
88779,2659808,Undirected
27717,37415601,Undirected
1384668,26417455,Undirected
1384668,6449130,Undirected
1384668,45542224,Undirected
1384668,45420835,Undirected
1384668,29378583,Undirected
1384668,3406936,Undirected
1384668,37310395,Undirected
1384668,49783220,Undirected
1426293,31896749,Undirected
1426293,5547088,Undirected
1424770,5685147,Undirected
1559596,25971688,Undirected
1559596,5685147,Undirected
5974072,19012164,Undirected
6000604,50076902,Undirected
6101781,32915739,Undirected
6101781,5685147,Undirected
5817051,19012164,Undirected
5817051,48548443,Undirected
5817051,49896844,Undirected
6017362,1703591,Undirected
5580279,35230321,Undirected
5580279,45483445,Undirected
5580279,2899885,Undirected
5580279,49610204,Undirected
5469869,26114336,Undirected
5469869,26731123,Undirected
5469869,26045599,Undirected
5469869,2963811,Undirected
6805192,24905245,Undirected
6805192,6806013,Undirected
6805192,19012164,Undirected
6805192,45094787,Undirected
6805192,2178427,Undirected
6404557,47570086,Undirected
6829356,6829107,Undirected
6829356,3854854,Undirected
6829356,50034729,Undirected
6829356,49763300,Undirected
6375897,5523348,Undirected
6328352,12710386,Undirected
6328352,27989284,Undirected
6328352,32435362,Undirected
6328352,32341835,Undirected
6328352,49829307,Undirected
6223965,3006486,Undirected
6704050,32341835,Undirected
6806480,49855224,Undirected
6806480,49829307,Undirected
18821023,49763300,Undirected
18801841,6829107,Undirected
18708454,32486569,Undirected
18818537,45185435,Undirected
18787779,45513470,Undirected
18787779,49610204,Undirected
18818234,6806013,Undirected
19253733,31896749,Undirected
18798693,5547088,Undirected
18798693,49610204,Undirected
18798693,49763300,Undirected
22605220,46273961,Undirected
44327373,32486569,Undirected
45257054,36538624,Undirected
44414066,32486569,Undirected
44414066,45483445,Undirected
44414066,37310395,Undirected
44414066,49853610,Undirected
44225876,32486569,Undirected
44210475,49595649,Undirected
44277694,49850993,Undirected
44182630,28679156,Undirected
45268625,45052335,Undirected
44881822,31141007,Undirected
44881822,2046188,Undirected
44881822,45205471,Undirected
45076189,48548443,Undirected
44924446,32486569,Undirected
44137426,2963811,Undirected
44217888,31267614,Undirected
44217888,3006486,Undirected
44217888,49783220,Undirected
44586692,45036233,Undirected
44586692,44734260,Undirected
44586692,49854542,Undirected
46843776,49641638,Undirected
45547170,61733608,Undirected
46584519,3006486,Undirected
46731510,6806013,Undirected
46636576,31008675,Undirected
46477064,2659808,Undirected
46477064,49829307,Undirected
46477064,49916746,Undirected
54720064,44734260,Undirected
2409374,32435362,Undirected
2409374,3854854,Undirected
2409374,3381621,Undirected
2577485,31896749,Undirected
2534866,30887944,Undirected
2534866,24905245,Undirected
2379650,3006486,Undirected
2330928,22921474,Undirected
2330928,45420835,Undirected
2330928,3804927,Undirected
2330928,50015159,Undirected
2330928,49858181,Undirected
2357491,51106337,Undirected
2357491,2315806,Undirected
2357491,49931824,Undirected
2552029,1703591,Undirected
2552029,28679156,Undirected
2578465,26731123,Undirected
2578465,2963811,Undirected
2218420,6806013,Undirected
2218420,45275418,Undirected
2218420,37180945,Undirected
