source,target,type
13005207,56780934,Undirected
13374932,17825020,Undirected
35727151,43399206,Undirected
35727151,43399274,Undirected
35727151,9606396,Undirected
35727151,19472742,Undirected
35711036,41575222,Undirected
19812032,43395960,Undirected
44158587,50664014,Undirected
46731329,43396002,Undirected
14909073,17825020,Undirected
3410049,43400782,Undirected
3410049,43400871,Undirected
3410049,43396327,Undirected
3410049,43392142,Undirected
42467474,56142961,Undirected
42467474,50617183,Undirected
42467474,43006265,Undirected
42566854,59041324,Undirected
42415236,10721038,Undirected
42889284,8279082,Undirected
42889284,43226690,Undirected
43646113,43400782,Undirected
43018548,43303232,Undirected
43917750,41575222,Undirected
43627513,41391510,Undirected
43177508,14110744,Undirected
43438644,56142961,Undirected
43438644,50617183,Undirected
43915345,43395599,Undirected
43915345,43396309,Undirected
43915345,43396420,Undirected
43915345,43611558,Undirected
43867575,56142961,Undirected
43508994,50664014,Undirected
43297180,41575222,Undirected
43626007,50664014,Undirected
30866092,43303232,Undirected
31338986,43399274,Undirected
31338986,43397035,Undirected
31338986,43397748,Undirected
46760427,43396453,Undirected
39832081,22027867,Undirected
39832081,10952913,Undirected
40669237,41263337,Undirected
40001071,43303232,Undirected
41560566,18309817,Undirected
41560566,10721038,Undirected
41560566,43434856,Undirected
41468477,10016207,Undirected
41080795,38611337,Undirected
41080795,41575222,Undirected
41459214,41263337,Undirected
41098624,8279082,Undirected
41195194,18498743,Undirected
41195194,41575222,Undirected
41720414,43226690,Undirected
9369951,43396002,Undirected
9369951,43395689,Undirected
57005805,56142961,Undirected
