titleID,title,nameID,name
50073142,"""Salud, dinero y amor""@es",406613,"""Itatí Cantoral""@es"
49885058,"""Tú y yo (telenovela)""@es",406613,"""Itatí Cantoral""@es"
49885058,"""Tú y yo (telenovela)""@es",357723,"""Joan Sebastian""@es"
49850993,"""Azul (telenovela)""@es",399805,"""Keiko (orca)""@es"
26144851,"""Zacatillo, un lugar en tu corazón""@es",477840,"""Laura Zapata""@es"
47235222,"""La gata (telenovela de 2014)""@es",477840,"""Laura Zapata""@es"
2963811,"""Amigas y rivales""@es",408697,"""Ludwika Paleta""@es"
27982218,"""Sueños y caramelos""@es",437464,"""María Antonieta de las Nieves""@es"
2659808,"""Mi pequeña Soledad""@es",431302,"""Salvador Pineda""@es"
7905446,"""María la del barrio (telenovela)""@es",363163,"""Thalía""@es"
3145533,"""Rosalinda (telenovela)""@es",363163,"""Thalía""@es"
3381621,"""Quinceañera (telenovela)""@es",363163,"""Thalía""@es"
28116313,"""Simplemente María (telenovela de 1989)""@es",468967,"""Victoria Ruffo""@es"
45036233,"""Al rojo vivo (telenovela)""@es",468967,"""Victoria Ruffo""@es"
29378583,"""Vivo por Elena""@es",468967,"""Victoria Ruffo""@es"
49610651,"""Capricho (telenovela)""@es",468967,"""Victoria Ruffo""@es"
27982218,"""Sueños y caramelos""@es",7873992,"""Alessandra Rosaldo""@es"
31008675,"""Ni contigo ni sin ti""@es",7873992,"""Alessandra Rosaldo""@es"
31267614,"""Rafaela (telenovela de 2011)""@es",7354003,"""Chantal Andere""@es"
5547088,"""Sentimientos ajenos""@es",7354003,"""Chantal Andere""@es"
4515800,"""Barrera de amor""@es",7354003,"""Chantal Andere""@es"
3406936,"""Alborada (telenovela)""@es",8016517,"""Daniela Romo""@es"
2046188,"""Mundo de juguete""@es",7485563,"""Gloria Marín""@es"
3381621,"""Quinceañera (telenovela)""@es",7236156,"""Jorge Lavat""@es"
27482326,"""Cuando me enamoro (telenovela)""@es",7346154,"""Silvia Navarro""@es"
33720317,"""Amor bravío""@es",7346154,"""Silvia Navarro""@es"
46273961,"""Caminos de Guanajuato""@es",31927744,"""Alberto Guerra (actor)""@es"
45094706,"""Guadalupe (telenovela mexicana)""@es",32536229,"""Alma Delfina""@es"
45340860,"""Marionetas (telenovela)""@es",32536229,"""Alma Delfina""@es"
32915739,"""Amorcito corazón (telenovela)""@es",32268726,"""Diego Olivera""@es"
47570086,"""Mentir para vivir""@es",32268726,"""Diego Olivera""@es"
32111200,"""El equipo""@es",32587419,"""Fabián Robles""@es"
33709206,"""Un refugio para el amor""@es",32696552,"""Jessica Coch""@es"
5523348,"""Código postal (telenovela)""@es",32696552,"""Jessica Coch""@es"
32486569,"""Esperanza del corazón""@es",32523940,"""Lisardo""@es"
34162327,"""Amor cautivo""@es",31922315,"""Marimar Vega""@es"
50076902,"""El secreto de Alejandra""@es",32083607,"""María Sorté""@es"
32111200,"""El equipo""@es",32651200,"""Roberto Blandón""@es"
33709206,"""Un refugio para el amor""@es",32651200,"""Roberto Blandón""@es"
49854542,"""Para toda la vida""@es",32651200,"""Roberto Blandón""@es"
47130158,"""Cenizas y diamantes (telenovela)""@es",31922056,"""Sergio Bustamante""@es"
48884055,"""Infamia (telenovela)""@es",31922056,"""Sergio Bustamante""@es"
45185435,"""El cristal empañado""@es",33193871,"""Diana Golden""@es"
34162327,"""Amor cautivo""@es",32792246,"""Héctor Bonilla""@es"
45163881,"""La casa al final de la calle""@es",32792246,"""Héctor Bonilla""@es"
45094787,"""La pasión de Isabela""@es",32792246,"""Héctor Bonilla""@es"
3804927,"""Corazón salvaje (telenovela de 1993)""@es",33209053,"""Luz María Aguilar""@es"
19012164,"""Un gancho al corazón""@es",33209150,"""Raúl Araiza Herrera""@es"
49875076,"""La culpa (telenovela)""@es",33209150,"""Raúl Araiza Herrera""@es"
49763300,"""Retrato de familia (telenovela mexicana)""@es",33209150,"""Raúl Araiza Herrera""@es"
27851364,"""Alma de hierro""@es",35209680,"""Alejandro Camacho""@es"
30604219,"""Imperio de cristal""@es",35209680,"""Alejandro Camacho""@es"
2046282,"""Cuna de lobos""@es",35209680,"""Alejandro Camacho""@es"
45205471,"""El ángel caído (telenovela)""@es",35209680,"""Alejandro Camacho""@es"
49965579,"""Amor gitano (telenovela mexicana)""@es",35209680,"""Alejandro Camacho""@es"
49858181,"""La sombra del otro""@es",35209680,"""Alejandro Camacho""@es"
45542224,"""El alma no tiene color""@es",35383771,"""Claudia Islas""@es"
3804927,"""Corazón salvaje (telenovela de 1993)""@es",35383771,"""Claudia Islas""@es"
33720317,"""Amor bravío""@es",34949740,"""Flavio Medina""@es"
45465510,"""Seducción (telenovela)""@es",34010093,"""Irma Dorantes""@es"
31008675,"""Ni contigo ni sin ti""@es",34683464,"""Laura Carmine""@es"
34162327,"""Amor cautivo""@es",12795632,"""Fernando Ciangherotti""@es"
45340860,"""Marionetas (telenovela)""@es",12795632,"""Fernando Ciangherotti""@es"
